th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.44065195104455823,0.6885780485711833,0.9356343283582089,0.5447386286490156,4012,51383,276,3353
0.5,MAD,0.3718904502404073,0.7462845819678378,0.8505906879777624,0.664765784114053,4896,50799,860,2469
0.5,STD,0.35191618856773715,0.7513557685164549,0.8295603674540682,0.6866259334691106,5057,50620,1039,2308
1,IQR,0.5063523688472468,nan,nan,0.0,0,51659,0,7365
1,MAD,0.41779384095908156,0.7065608023401587,0.9189130434782609,0.5739307535641548,4227,51286,373,3138
1,STD,0.3970089145508597,0.7240336683827736,0.9092775041050903,0.6014935505770537,4430,51217,442,2935
1.5,IQR,0.5720527866499352,nan,nan,0.0,0,51659,0,7365
1.5,MAD,0.4636972316777558,0.6274045036010575,0.954772475027747,0.4672097759674134,3441,51496,163,3924
1.5,STD,0.4421016405339822,0.6867749419953597,0.9353932584269663,0.5425661914460285,3996,51383,276,3369
2,IQR,0.6377532044526237,nan,nan,0.0,0,51659,0,7365
2,MAD,0.50960062239643,nan,nan,0.0,0,51659,0,7365
2,STD,0.48719436651710474,0.6082770113878344,0.9560535506402794,0.4460285132382892,3285,51508,151,4080
