th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,1.0671523919976456,0.6069981583793739,0.5432967032967033,0.6876216968011126,4944,46572,4156,2246
0.5,MAD,0.8671633488552783,0.6010511756569848,0.49903536977491963,0.7554937413073713,5432,45275,5453,1758
0.5,STD,1.4156007100087522,0.5549208185696723,0.5779484862178039,0.5336578581363004,3837,47926,2802,3353
1,IQR,1.2320824070271017,0.5932754161416539,0.5669920141969832,0.6221140472878999,4473,47312,3416,2717
1,MAD,0.9904997837040774,0.6089273028652616,0.5300968872397444,0.7152990264255911,5143,46169,4559,2047
1,STD,1.9358345454899504,0.4813088073238959,0.6162361623616236,0.39485396383866483,2839,48960,1768,4351
1.5,IQR,1.3970124220565578,0.5578084555651424,0.5774039892825246,0.539499304589708,3879,47889,2839,3311
1.5,MAD,1.1138362185528765,0.6075457508147405,0.5529317818845539,0.6741307371349096,4847,46809,3919,2343
1.5,STD,2.4560683809711485,nan,nan,0.0,0,50728,0,7190
2,IQR,1.561942437086014,0.5374087591240875,0.5927541093592754,0.4915159944367177,3534,48300,2428,3656
2,MAD,1.2371726534016756,0.5911782316545806,0.566636908557582,0.617941585535466,4443,47330,3398,2747
2,STD,2.9763022164523467,nan,nan,0.0,0,50728,0,7190
