th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.0016723130943615252,0.5411885013066697,0.45745293891663463,0.6624478442280946,4763,45079,5649,2427
0.5,MAD,0.0014327815174450872,0.5075095710218906,0.3921419902912621,0.7190542420027817,5170,42714,8014,2020
0.5,STD,0.002811925618367129,0.4609748803827751,0.4983834464920789,0.42878998609179414,3083,47625,3103,4107
1,IQR,0.0018384907477017524,0.5487099107788763,0.484251968503937,0.6329624478442281,4551,45881,4847,2639
1,MAD,0.0015506898737774517,0.5305486953720605,0.4320566631689402,0.6872044506258692,4941,44233,6495,2249
1,STD,0.0040170971162950975,0.41613623212366707,0.5129406969635215,0.35006954102920723,2517,48338,2390,4673
1.5,IQR,0.0020046684010419794,0.5496718282036577,0.5072327413853934,0.5998609179415856,4313,46538,4190,2877
1.5,MAD,0.0016685982301098165,0.54095756750624,0.4567924889825637,0.6631432545201669,4768,45058,5670,2422
1.5,STD,0.005222268614223066,0.37745272921869427,0.5261064147190453,0.29429763560500694,2116,48822,1906,5074
2,IQR,0.002170846054382207,0.5431756712184181,0.516626929351236,0.5726008344923504,4117,46876,3852,3073
2,MAD,0.001786506586442181,0.5447659624829871,0.4740961994026161,0.6401947148817803,4603,45622,5106,2587
2,STD,0.0064274401121510345,0.3626322194140223,0.5545376467220154,0.2694019471488178,1937,49172,1556,5253
