th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0,0.6018691588785046,0.5312400212879191,0.6941585535465925,4991,46324,4404,2199
0.5,MAD,1,0.5916302725413235,0.49096247362143314,0.7442280945757997,5351,45180,5548,1839
0.5,STD,2,nan,nan,0.0,0,50728,0,7190
1,IQR,0,0.5899546875997193,0.5451114518221488,0.642837273991655,4622,46871,3857,2568
1,MAD,1,0.600966296059142,0.5167684452898188,0.7179415855354659,5162,45901,4827,2028
1,STD,2,nan,nan,0.0,0,50728,0,7190
1.5,IQR,0,0.5679611650485435,0.551164616592515,0.5858136300417246,4212,47298,3430,2978
1.5,MAD,1,0.6032054395337543,0.535229476405947,0.6909596662030598,4968,46414,4314,2222
1.5,STD,2,nan,nan,0.0,0,50728,0,7190
2,IQR,0,0.5526721840370319,0.5574419920769667,0.5479833101529903,3940,47600,3128,3250
2,MAD,1,0.5932117527862208,0.5445245291792606,0.6514603616133519,4684,46810,3918,2506
2,STD,2,nan,nan,0.0,0,50728,0,7190
