alpha,beta,th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
1,0,0.5,IQR,0.6483093177965604,0.5788311338540264,0.47235164835164833,0.7472878998609179,5373,44726,6002,1817
1,0,0.5,MAD,0.4652380458792156,0.5094134527588156,0.37054842178505915,0.8147426981919332,5858,40777,9951,1332
1,0,0.5,STD,0.6739917521893928,0.5834607821717283,0.4803921568627451,0.7428372739916551,5341,44951,5777,1849
1,0,1,IQR,0.7826289191889049,0.581813958889792,0.49940191387559807,0.6968011126564673,5010,45706,5022,2180
1,0,1,MAD,0.5639318416186412,0.5573243609702205,0.4361392753281459,0.7717663421418637,5549,43554,7174,1641
1,0,1,STD,0.8696463909201648,0.578584392014519,0.5119914346895075,0.6650904033379694,4782,46170,4558,2408
1,0,1.5,IQR,0.9158642651717842,0.5727897048815196,0.5158809762621197,0.6438108484005564,4629,46384,4344,2561
1,0,1.5,MAD,0.6613211063705523,0.5818576860401955,0.47736185383244206,0.7449235048678721,5356,44864,5864,1834
1,0,1.5,STD,1.2225078382738643,0.5678649008478733,0.5722355599491598,0.5635605006954103,4052,47699,3029,3138
1,0,2,IQR,1.0495599804772093,0.5703815195340618,0.5386231615375108,0.6061196105702364,4358,46995,3733,2832
1,0,2,MAD,0.7588898136310753,0.5839156833543361,0.4963965718737826,0.7089012517385257,5097,45557,5171,2093
1,0,2,STD,1.4476758062502901,0.5369772505443352,0.5834557023984337,0.4973574408901252,3576,48175,2553,3614
0.9,0.1,0.5,IQR,0.5833322616127867,0.5782444803446418,0.471792618629174,0.7467315716272601,5369,44717,6011,1821
0.9,0.1,0.5,MAD,0.4195587936129971,0.5101863137732892,0.3713090863008491,0.8150208623087621,5860,40806,9922,1330
0.9,0.1,0.5,STD,0.6063569231839765,0.5834335045350234,0.48047156227501797,0.7425591098748261,5339,44955,5773,1851
0.9,0.1,1,IQR,0.7031047318567067,0.5824194952132289,0.49965156794425086,0.6980528511821975,5019,45702,5026,2171
0.9,0.1,1,MAD,0.5074167742701986,0.5567206863679695,0.4354446275802527,0.7716272600834493,5548,43535,7193,1642
0.9,0.1,1,STD,0.8451527885245378,0.5724438902743142,0.5187570621468927,0.6385257301808067,4591,46469,4259,2599
0.9,0.1,1.5,IQR,0.8231287979759936,0.5734430082256169,0.5163158480899878,0.6447844228094576,4636,46385,4343,2554
0.9,0.1,1.5,MAD,0.5948912825996031,0.5818892932804607,0.47740440324449596,0.7449235048678721,5356,44865,5863,1834
0.9,0.1,1.5,STD,1.0908648448172458,0.5702115774038126,0.5725704669751788,0.5678720445062587,4083,47680,3048,3107
0.9,0.1,2,IQR,0.9456817764053097,0.5713911791650308,0.5395452298566485,0.6072322670375522,4366,47002,3726,2824
0.9,0.1,2,MAD,0.6836160413416054,0.5849553469200823,0.4970811441914769,0.7105702364394993,5109,45559,5169,2081
0.9,0.1,2,STD,1.3200576896253347,0.5348819669658346,0.5842807711319822,0.4931849791376912,3546,48205,2523,3644
0.8,0.2,0.5,IQR,0.5186415603420895,0.5785933379970941,0.47186869130167647,0.7477051460361613,5376,44711,6017,1814
0.8,0.2,0.5,MAD,0.37272187873592155,0.5103160094019326,0.3713887480993411,0.815299026425591,5862,40806,9922,1328
0.8,0.2,0.5,STD,0.549247568877282,0.5854167811418209,0.48387682804977744,0.7408901251738526,5327,45046,5682,1863
0.8,0.2,1,IQR,0.625544777211915,0.5827776167004929,0.4997513674788662,0.6988873435326843,5025,45698,5030,2165
0.8,0.2,1,MAD,0.4505747035435145,0.5566141811252633,0.4352258469259724,0.7719054242002782,5550,43526,7202,1640
0.8,0.2,1,STD,0.7033230492208098,0.5789761340863545,0.5138514606014876,0.6630041724617525,4767,46218,4510,2423
0.8,0.2,1.5,IQR,0.7327880314124946,0.5741289844329133,0.5164480995776839,0.6463143254520167,4647,46377,4351,2543
0.8,0.2,1.5,MAD,0.5292719564109021,0.5819605284619148,0.4777291796840132,0.7443671766342141,5352,44877,5851,1838
0.8,0.2,1.5,STD,0.9538105423695966,0.570040935266773,0.568738751211408,0.5713490959666203,4108,47613,3115,3082
0.8,0.2,2,IQR,0.8391791244901954,0.5708867381637457,0.5387558627499383,0.6070931849791377,4365,46991,3737,2825
0.8,0.2,2,MAD,0.6083621403776973,0.5853518868464754,0.4975177650150881,0.7108484005563283,5111,45566,5162,2079
0.8,0.2,2,STD,1.1710468507011864,0.5347206514363266,0.5838959328173884,0.4931849791376912,3546,48201,2527,3644
0.7,0.30000000000000004,0.5,IQR,0.45427576853849283,0.5793727772389266,0.4729064039408867,0.7477051460361613,5376,44736,5992,1814
0.7,0.30000000000000004,0.5,MAD,0.3258903181409481,0.5103550295857988,0.37134354818285426,0.8157162726008345,5865,40799,9929,1325
0.7,0.30000000000000004,0.5,STD,0.4677169217081543,0.5824798431030727,0.4787748522299839,0.7435326842837274,5346,44908,5820,1844
0.7,0.30000000000000004,1,IQR,0.5476056686088175,0.5823078709078245,0.4997011356843993,0.6976356050069541,5016,45706,5022,2174
0.7,0.30000000000000004,1,MAD,0.3943766229279183,0.5563139931740614,0.4352128160829276,0.7707927677329625,5542,43536,7192,1648
0.7,0.30000000000000004,1,STD,0.6570445944468662,0.5727822454959167,0.5190373969043046,0.63894297635605,4594,46471,4257,2596
0.7,0.30000000000000004,1.5,IQR,0.6407081119185003,0.5738646895273403,0.5162868260144525,0.6458970792767733,4644,46377,4351,2546
0.7,0.30000000000000004,1.5,MAD,0.46313290108259086,0.5814345532655392,0.4773640503616394,0.7435326842837274,5346,44875,5853,1844
0.7,0.30000000000000004,1.5,STD,0.8360232078175869,0.5707734000416926,0.5703374531315095,0.5712100139082058,4107,47634,3094,3083
0.7,0.30000000000000004,2,IQR,0.7348281733422048,0.5704935200942532,0.5388229475766568,0.6061196105702364,4358,46998,3730,2832
0.7,0.30000000000000004,2,MAD,0.5315341036672196,0.5848462287383313,0.4971278356537825,0.7101529902642559,5106,45563,5165,2084
