th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.14111522292747236,0.5431290898274836,0.3961445484410835,0.8635319551411972,6391,40775,9742,1010
0.5,MAD,0.09875094961944408,0.46786278957860733,0.3137417600147513,0.9196054587217943,6806,35630,14887,595
0.5,STD,0.22446233170187563,0.586892797319933,0.4790224728702042,0.7574652074044048,5606,44420,6097,1795
1,IQR,0.16933929648748963,0.5733627944149312,0.43965392934390773,0.8239427104445345,6098,42745,7772,1303
1,MAD,0.1187852433739574,0.5063932726644396,0.3537174122948182,0.8909606809890556,6594,38469,12048,807
1,STD,0.34078158993512014,0.5717876593452631,0.5132144391920929,0.6454533171193082,4777,45986,4531,2624
1.5,IQR,0.1975633700475069,0.5854831438160597,0.4652125457729661,0.7896230239156871,5844,43799,6718,1557
1.5,MAD,0.13881953712847073,0.5398349334680815,0.392120878448645,0.8660991757870558,6410,40580,9937,991
1.5,STD,0.45710084816836466,0.5651866606695367,0.5388385199705954,0.5942440210782327,4398,46753,3764,3003
2,IQR,0.22578744360752417,0.5868150325425152,0.4797871427345292,0.7553033373868396,5590,44456,6061,1811
2,MAD,0.15885383088298405,0.5640909090909091,0.4250291115829851,0.8384002161870018,6205,42123,8394,1196
2,STD,0.5734201064016091,0.5595468361425808,0.5724381625441696,0.5472233481961897,4050,47492,3025,3351
,MAX,12.03240299683909,0.020789473684210528,0.3969849246231156,0.010674233211728145,79,50397,120,7322
