th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.0016723130943615252,0.5269185426373996,0.45072992700729925,0.6341034995270909,4693,44798,5719,2708
0.5,MAD,0.0014327815174450872,0.5025018217148408,0.39229368932038833,0.6988244831779489,5172,42505,8012,2229
0.5,STD,0.002811925618367129,0.4268786339883712,0.4688005172971225,0.3918389406836914,2900,47231,3286,4501
1,IQR,0.0018384907477017524,0.5264599083278767,0.4705256437539902,0.5974868261045805,4422,45541,4976,2979
1,MAD,0.0015506898737774517,0.520358868184955,0.42855893669115075,0.6622078097554385,4901,43982,6535,2500
1,STD,0.0040170971162950975,0.37617809554761134,0.4717750152842878,0.312795568166464,2315,47925,2592,5086
1.5,IQR,0.0020046684010419794,0.5250251509054326,0.49100317534987653,0.5641129577084177,4175,46189,4328,3226
1.5,MAD,0.0016685982301098165,0.5270474802399236,0.4503736347959379,0.6351844345358735,4701,44780,5737,2700
1.5,STD,0.005222268614223066,0.3433423794099623,0.48756837394331176,0.26496419402783405,1961,48456,2061,5440
2,IQR,0.002170846054382207,0.5194534808067665,0.5009411469444096,0.5393865693825158,3992,46540,3977,3409
2,MAD,0.001786506586442181,0.525540619520748,0.463075496961582,0.6074854749358195,4496,45304,5213,2905
2,STD,0.0064274401121510345,0.3126491646778043,0.4875465216146579,0.23010403999459533,1703,48727,1790,5698
,MAX,0.10270855202716787,0.023381058715355313,0.419811320754717,0.012025401972706391,89,50394,123,7312
