th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.5345352581745318,0.5991376692779499,0.5441208912420031,0.6665315497905688,4933,46384,4133,2468
0.5,MAD,0.3140459981250491,0.5292845557758155,0.3970260223048327,0.7936765301986218,5874,41596,8921,1527
0.5,STD,2.9266216677671237,0.30587275693311583,0.6231823847112589,0.20267531414673692,1500,49610,907,5901
1,IQR,0.670771520227015,0.608833641893679,0.5961413958306357,0.6220780975543846,4604,47398,3119,2797
1,MAD,0.4023134358215289,0.570480754041388,0.46738567730802416,0.7319281178219159,5417,44344,6173,1984
1,STD,5.3278543732372246,0.19188024495350423,0.5970359915314044,0.11430887717875962,846,49946,571,6555
1.5,IQR,0.8070077822794981,0.6080011209976879,0.6314027939464494,0.5862721253884611,4339,47984,2533,3062
1.5,MAD,0.49058087351800866,0.593107476635514,0.5223788455602428,0.6859883799486556,5077,45875,4642,2324
1.5,STD,7.729087078707327,0.13661332696441367,0.5878725590955807,0.07728685312795568,572,50116,401,6829
2,IQR,0.9432440443319813,0.6053399474759266,0.6578404946884414,0.5605999189298744,4149,48359,2158,3252
2,MAD,0.5788483112144884,0.6048204870700478,0.5647638026022741,0.6509931090393191,4818,46804,3713,2583
2,STD,10.130319784177427,0.10892549791000737,0.6043656207366985,0.05985677611133631,443,50227,290,6958
,MAX,340.671609315059,0.0024278392230914487,0.6923076923076923,0.0012160518848804217,9,50513,4,7392
