th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.6506979061307765,0.564833887920562,0.4636663198057579,0.7224699364950682,5347,44332,6185,2054
0.5,MAD,0.4650489237868227,0.5141308555942702,0.37712987504733053,0.8074584515605999,5976,40647,9870,1425
0.5,STD,0.7463074726330432,0.5653232949512843,0.47885210541123513,0.6899067693554926,5106,44960,5557,2295
1,IQR,0.7864852085869604,0.5642849080031607,0.4845400794804691,0.6754492636130253,4999,45199,5318,2402
1,MAD,0.5646442041771562,0.5540680729140938,0.4366921040336396,0.7577354411566004,5608,43283,7234,1793
1,STD,1.0614938704528885,0.5315372829417774,0.5038121747549317,0.5624915551952439,4163,46417,4100,3238
1.5,IQR,0.9222725110431442,0.5514383520509278,0.49632432432432433,0.6203215781651128,4591,45858,4659,2810
1.5,MAD,0.6642394845674898,0.5655275204939849,0.4665788317962231,0.7177408458316443,5312,44444,6073,2089
1.5,STD,1.376680268272734,0.5026428923814221,0.5253388332351208,0.4818267801648426,3566,47295,3222,3835
2,IQR,1.0580598134993282,0.5320925489196252,0.5036196911196911,0.5639778408323199,4174,46403,4114,3227
2,MAD,0.7638347649578234,0.5652319731693684,0.48202879206788063,0.6831509255506013,5056,45084,5433,2345
2,STD,1.6918666660925792,0.4399434762129063,0.5250140528386734,0.37859748682610456,2802,47982,2535,4599
,MAX,27.335893310234106,0.015919342000530644,0.43795620437956206,0.008107012565869477,60,50440,77,7341
