th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.00018419697153149173,0.5660631093607416,0.43912071535022357,0.7962437508444805,5893,42990,7527,1508
0.5,MAD,0.0001263192633196013,0.4934910362270326,0.3404670259173723,0.8963653560329685,6634,37666,12851,767
0.5,STD,0.0005045083671575412,0.5266580854955626,0.528125,0.5251992973922442,3887,47044,3473,3514
1,IQR,0.0002230623285868205,0.5848552814268931,0.48353200883002206,0.7399000135116877,5476,44668,5849,1925
1,MAD,0.00015338781455648132,0.5396866170048806,0.3949990599736793,0.8516416700445886,6303,40863,9654,1098
1,STD,0.000841598681290634,0.4786001060525718,0.5446551724137931,0.426834211593028,3159,47876,2641,4242
1.5,IQR,0.0002619276856421493,0.5844215349369988,0.5072074758922358,0.6893663018511011,5102,45560,4957,2299
1.5,MAD,0.00018045636579336132,0.5636794689426268,0.4342172547300752,0.8031347115254696,5944,42772,7745,1457
1.5,STD,0.0011786889954237267,0.4235176047503555,0.5557506584723442,0.34211593027969195,2532,48493,2024,4869
2,IQR,0.0003007930426974781,0.572522738152226,0.5138008806787671,0.646399135251993,4784,45990,4527,2617
2,MAD,0.00020752491703024135,0.5811464443758361,0.46929277819330173,0.7630049993244156,5647,44131,6386,1754
2,STD,0.0015157793095568195,0.38487604779739615,0.5659585628114345,0.29158221861910555,2158,48862,1655,5243
,MAX,0.03573614,0.11405500883169316,0.8609523809523809,0.06107282799621673,452,50444,73,6949
