th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.970687597990036,0.5721756700540798,0.5107150434967113,0.6504526415349278,4814,45905,4612,2587
0.5,MAD,0.7662673031151295,0.5866752910737386,0.48802797955340327,0.7353060397243616,5442,44808,5709,1959
0.5,STD,1.732155680656433,0.4196549256579471,0.509853168469861,0.3565734360221592,2639,47980,2537,4762
1,IQR,1.1378195881843567,0.5503645007923931,0.5183902555529019,0.5865423591406567,4341,46484,4033,3060
1,MAD,0.8906539151787758,0.5840992647058822,0.5080443689417408,0.6869341980813404,5084,45594,4923,2317
1,STD,2.5732616186141968,0.3351331564015741,0.5192853091321611,0.24739900013511687,1831,48822,1695,5570
1.5,IQR,1.3049515783786774,0.5351148113334229,0.531829707727212,0.5384407512498312,3985,47009,3508,3416
1.5,MAD,1.015040527242422,0.5651227476115612,0.5114370143373098,0.6314011620051344,4673,46053,4464,2728
1.5,STD,3.4143675565719604,0.2538500251635632,0.4976322020520916,0.17038238075935686,1261,49244,1273,6140
2,IQR,1.472083568572998,0.502499642908156,0.5329495530980155,0.475341170112147,3518,47434,3083,3883
2,MAD,1.1394271393060684,0.550424965114804,0.5187089061566049,0.5862721253884611,4339,46491,4026,3062
2,STD,4.255473494529724,0.19332763045337897,0.46335212711430035,0.12214565599243346,904,49470,1047,6497
,MAX,26.614044,0.01670201484623542,0.4405594405594406,0.008512363194162952,63,50437,80,7338
