th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.0220457945426422,0.7871378328588177,0.6842534358257629,0.9264369628636758,11750,18516,5422,933
1,IQR,0.024721318129750227,0.8030150404668451,0.7176828511113871,0.9113774343609556,11559,19391,4547,1124
1.5,IQR,0.027396841716858255,0.8138330177557072,0.7440553958714398,0.8980525112355121,11390,20020,3918,1293
2,IQR,0.03007236530396629,0.8208633356482328,0.7651267375306623,0.8853583537018056,11229,20491,3447,1454
0.5,MAD,0.018573821017205568,0.7505836212531515,0.620088459164781,0.950642592446582,12057,16551,7387,626
1,MAD,0.02061055586175767,0.7720461563464976,0.6567857537882977,0.936371520933533,11876,17732,6206,807
1.5,MAD,0.02264729070630978,0.7886176123926587,0.6882788619797789,0.9232042892060238,11709,18635,5303,974
2,MAD,0.02468402555086188,0.8006641070872678,0.7132117328074932,0.9125601198454625,11574,19284,4654,1109
0.5,STD,0.019084869641417725,0.7579213394408466,0.6323002319207253,0.9458330048095877,11996,16962,6976,687
1,STD,0.021220321818147318,0.7769907422660033,0.6673457838143746,0.9297484822202949,11792,18060,5878,891
1.5,STD,0.023355773994876906,0.7928388746803069,0.6985338300685013,0.9165812504927856,11625,18921,5017,1058
2,STD,0.025491226171606495,0.8043401924292437,0.7251028806584362,0.9030197902704408,11453,19596,4342,1230
,MAX,0.026745972251393392,0.8084284334418489,0.739947609692207,0.8908775526295041,11299,19967,3971,1384
