th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.04037114978148301,0.6697451052826008,0.5493661936265846,0.857683513364346,10878,15015,8923,1805
1,IQR,0.04476880511266478,0.6807831113666123,0.5721494524371913,0.8403374595915792,10658,15968,7970,2025
1.5,IQR,0.049166460443846524,0.6884374282057173,0.5896772742606544,0.8269336907671686,10488,16640,7298,2195
2,IQR,0.053564115775028294,0.6924060859027872,0.6041116005873716,0.810928013876843,10285,17198,6740,2398
0.5,MAD,0.03395872265055468,0.6577099765970357,0.5190623859905145,0.8974217456437751,11382,13392,10546,1301
1,MAD,0.03701787229819069,0.6651974507117756,0.5344819334769083,0.8805487660648111,11168,14211,9727,1515
1.5,MAD,0.04007702194582668,0.6713939282315744,0.549713481451694,0.862256563904439,10936,14980,8958,1747
2,MAD,0.04313617159346267,0.6778529828427514,0.5641966250917094,0.8488527950800284,10766,15622,8316,1917
0.5,STD,0.03443266122676471,0.6574731291827215,0.5196940551433544,0.8946621461799259,11347,13451,10487,1336
1,STD,0.03733196826075349,0.6621080919677516,0.5328495217955496,0.8741622644484743,11087,14218,9720,1596
1.5,STD,0.04023127529474228,0.6681195899072995,0.5470218647901482,0.8580777418591816,10883,14926,9012,1800
2,STD,0.043130582328731085,0.674257674886764,0.5608875399026637,0.8450682015296066,10718,15547,8391,1965
,MAX,0.04279024240084444,0.670814479638009,0.5576511154067185,0.8415989907750532,10674,15471,8467,2009
