th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.019460532422270426,0.724603347775942,0.5991854830394886,0.9164235590948514,11623,16163,7775,1060
1,IQR,0.02348278208820563,0.7301947438079033,0.6081570521232481,0.9135062682330679,11586,16473,7465,1097
1.5,IQR,0.027505031754140853,0.723057522553109,0.6128590221442666,0.8815737601513838,11181,16875,7063,1502
2,IQR,0.03152728142007607,0.722497393117831,0.6157178561510691,0.8740834187495072,11086,17019,6919,1597
0.5,MAD,0.014520276985513482,0.7100160815608216,0.5770938147380882,0.9224946779153197,11700,15364,8574,983
1,MAD,0.017540775616847647,0.7166143814972012,0.5874640714033583,0.9185523929669637,11650,15757,8181,1033
1.5,MAD,0.020561274248181816,0.7214223656447809,0.5947812739831159,0.9165812504927856,11625,16018,7920,1058
2,MAD,0.023581772879515975,0.725085910652921,0.6004553215708595,0.9150043365134432,11605,16216,7722,1078
0.5,STD,0.013782127256141325,0.7152048763968845,0.5866666666666667,0.9158716392020815,11616,15754,8184,1067
1,STD,0.01617139921558677,0.7217796107101572,0.5977540881805009,0.9107466687692186,11551,16165,7773,1132
1.5,STD,0.018560671175032215,0.7270835304133951,0.6058328954282711,0.909012063391942,11529,16437,7501,1154
2,STD,0.020949943134477664,0.7307081613210543,0.6117403094592438,0.9071197666167311,11505,16636,7302,1178
,MAX,0.01935764714288242,0.7305559955647077,0.6106344666878508,0.9090909090909091,11530,16586,7352,1153
