th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.06864125213551324,0.7205246468722976,0.6634813192647157,0.7882992982732792,9998,18867,5071,2685
1,IQR,0.08450206220235708,0.7278213166144202,0.7234556360520371,0.732240006307656,9287,20388,3550,3396
1.5,IQR,0.10036287226920095,0.7226180613090305,0.7612813127345728,0.6876921863912323,8722,21203,2735,3961
2,IQR,0.11622368233604477,0.7146485299814902,0.7869738339021616,0.6544981471260742,8301,21691,2247,4382
0.5,MAD,0.04666511998473259,0.6829974659104622,0.5531395064744686,0.8925333123078136,11320,14793,9145,1363
1,MAD,0.05812470348595409,0.7087974388047756,0.6141709530139282,0.8378932429235986,10627,17262,6676,2056
1.5,MAD,0.06958428698717561,0.7185303282846582,0.6647670130740865,0.7817551052590082,9915,18938,5000,2768
2,MAD,0.0810438704883971,0.7231416116961772,0.7079305135951661,0.7390207364188284,9373,20071,3867,3310
0.5,STD,0.050939810204558254,0.6973795700611957,0.5792409550620373,0.8760545612236853,11111,15867,8071,1572
1,STD,0.06259728944409478,0.7205750224618149,0.6414026453398954,0.8220452574312072,10426,18109,5829,2257
1.5,STD,0.07425476868363132,0.72913714669252,0.6916873010258224,0.7708743988015454,9777,19580,4358,2906
2,STD,0.08591224792316787,0.7299166238590113,0.7316223067173637,0.7282188756603327,9236,20550,3388,3447
,MAX,0.10491869179395408,0.7238437735217864,0.7706348499688362,0.6824095245604352,8655,21362,2576,4028
