th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.0008598764352703283,0.7733333333333335,0.6748545572074984,0.9054640069384216,11484,18405,5533,1199
1,IQR,0.0010517250402975178,0.7808338866948589,0.7012554927809165,0.8807853031617126,11171,19179,4759,1512
1.5,IQR,0.0012435736453247073,0.7840493437567237,0.7190686048806156,0.8619411811085705,10932,19667,4271,1751
2,IQR,0.0014354222503518968,0.7855730501647749,0.7333697955835099,0.8457778128203106,10727,20038,3900,1956
0.5,MAD,0.0005567172988841555,0.744998765127192,0.6122076208838602,0.9513522037372861,12066,16295,7643,617
1,MAD,0.0006759355012552767,0.7611367375245961,0.6440659460639808,0.9302215564140977,11798,17418,6520,885
1.5,MAD,0.0007951537036263976,0.7713007478632479,0.6688864439168453,0.9107466687692186,11551,18220,5718,1132
2,MAD,0.000914371905997519,0.7777245016781971,0.6874962155616107,0.8952140660726957,11354,18777,5161,1329
0.5,STD,0.0006432952733038375,0.7584887613582018,0.6367091317846055,0.9378695892139084,11895,17151,6787,788
1,STD,0.0007848499475530292,0.7739185454061075,0.6698950766747377,0.91618702199795,11620,18212,5726,1063
1.5,STD,0.0009264046218022211,0.7800584493725288,0.6916229728081941,0.8944256090830245,11344,18880,5058,1339
2,STD,0.0010679592960514128,0.7847717168865995,0.7101986078293633,0.8768430182133564,11121,19400,4538,1562
,MAX,0.0012849632855222533,0.7887528608275512,0.7313392616545406,0.8559489079870694,10856,19950,3988,1827
