th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.05280091110475813,0.7181371096758903,0.5751981396231788,0.9556098714815107,12120,14987,8951,563
1,IQR,0.058611437156232016,0.7421872589850378,0.6096188931684573,0.9484349128755026,12029,16235,7703,654
1.5,IQR,0.0644219632077059,0.7566503714049903,0.6332961368829375,0.9396830402901521,11918,17037,6901,765
2,IQR,0.0702324892591798,0.7621980872102448,0.6472304812245347,0.9268311913585114,11755,17531,6407,928
0.5,MAD,0.043146032010665095,0.6478443933562369,0.48175182481751827,0.9887250650477016,12540,10448,13490,143
1,MAD,0.046720354654871385,0.6909111067993459,0.5327434384885014,0.9826539462272333,12463,13007,10931,220
1.5,MAD,0.05029467729907765,0.7237494892896749,0.574526247509614,0.9776866671923047,12400,14755,9183,283
2,MAD,0.05386899994328392,0.7429226084597065,0.6014351264278044,0.9714578569739021,12321,15773,8165,362
0.5,STD,0.046196950571329304,0.668742829044419,0.5116415165322075,0.9650713553575653,12240,12255,11683,443
1,STD,0.050640882811311516,0.702518759816183,0.5565694271625421,0.9522195064259245,12077,14316,9622,606
1.5,STD,0.055084815051293735,0.7285389856169568,0.5913872775538295,0.9485137585744697,12030,15626,8312,653
2,STD,0.05952874729127595,0.7445804087210387,0.6142454522162439,0.9451233935188835,11987,16410,7528,696
,MAX,0.06756718930873004,0.7575884378922972,0.6401218450826806,0.927856185445084,11768,17322,6616,915
