th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.0419077511923093,0.7794900145117822,0.6937696045267236,0.8893794843491287,11280,18959,4979,1403
1,IQR,0.04871223693002687,0.7807046070460705,0.7205843116328708,0.8517700859418119,10803,19749,4189,1880
1.5,IQR,0.05551672266774442,0.7770181926855692,0.738321737895783,0.819995269258062,10400,20252,3686,2283
2,IQR,0.06232120840546197,0.7741218830198797,0.7527562574493445,0.7967357880627611,10105,20619,3319,2578
0.5,MAD,0.03215326685950154,0.7592958734613178,0.637483266398929,0.9386580462035796,11905,17168,6770,778
1,MAD,0.0369680507991158,0.7745953506960633,0.6705298967883296,0.9168966332886541,11629,18224,5714,1054
1.5,MAD,0.04178283473873005,0.7839523281596452,0.6992151288548297,0.8920602381140109,11314,19071,4867,1369
2,MAD,0.04659761867834432,0.7864380079481579,0.720291185729276,0.8659623117558937,10983,19673,4265,1700
0.5,STD,0.0338511644683349,0.76456891533536,0.6481166730632162,0.9320350074903414,11821,17520,6418,862
1,STD,0.0387521216280316,0.7788513513513514,0.6813855884613111,0.9088543719940078,11527,18548,5390,1156
1.5,STD,0.043653078787728276,0.7845381455605097,0.7071518987341772,0.8809429945596468,11173,19311,4627,1510
2,STD,0.04855403594742495,0.7856393181571424,0.7261172063152261,0.855791216589135,10854,19844,4094,1829
,MAX,0.05296401163780189,0.7810186556114895,0.73606362938673,0.8318221241031302,10550,20155,3783,2133
